p3XHA-lic-hxg-insert	AanI	5427
p3XHA-lic-hxg-insert	AccIII	5427
p3XHA-lic-hxg-insert	AccB7I	5427
p3XHA-lic-hxg-insert	AdeI	5427
p3XHA-lic-hxg-insert	AgeI	5427
p3XHA-lic-hxg-insert	AjiI	5427
p3XHA-lic-hxg-insert	Aor13HI	5427
p3XHA-lic-hxg-insert	AsiGI	5427
p3XHA-lic-hxg-insert	AspA2I	5427
p3XHA-lic-hxg-insert	AssI	5427
p3XHA-lic-hxg-insert	AvrII	5427
p3XHA-lic-hxg-insert	BalI	5427
p3XHA-lic-hxg-insert	BasI	5427
p3XHA-lic-hxg-insert	BclI	5427
p3XHA-lic-hxg-insert	BlnI	5427
p3XHA-lic-hxg-insert	BmcAI	5427
p3XHA-lic-hxg-insert	BmgBI	5427
p3XHA-lic-hxg-insert	BoxI	5427
p3XHA-lic-hxg-insert	BsaBI	5427
p3XHA-lic-hxg-insert	Bse8I	5427
p3XHA-lic-hxg-insert	BseAI	5427
p3XHA-lic-hxg-insert	BseJI	5427
p3XHA-lic-hxg-insert	BshTI	5427
p3XHA-lic-hxg-insert	BsiWI	5427
p3XHA-lic-hxg-insert	Bsp13I	5427
p3XHA-lic-hxg-insert	Bsp68I	5427
p3XHA-lic-hxg-insert	Bsp1407I	5427
p3XHA-lic-hxg-insert	BspEI	5427
p3XHA-lic-hxg-insert	BsrGI	5427
p3XHA-lic-hxg-insert	BssT1I	5427
p3XHA-lic-hxg-insert	BstAUI	5427
p3XHA-lic-hxg-insert	BstENI	5427
p3XHA-lic-hxg-insert	BstNSI	5427
p3XHA-lic-hxg-insert	BstPAI	5427
p3XHA-lic-hxg-insert	BstXI	5427
p3XHA-lic-hxg-insert	BtrI	5427
p3XHA-lic-hxg-insert	BtuMI	5427
p3XHA-lic-hxg-insert	CciNI	5427
p3XHA-lic-hxg-insert	Cfr9I	5427
p3XHA-lic-hxg-insert	CsiI	5427
p3XHA-lic-hxg-insert	CspAI	5427
p3XHA-lic-hxg-insert	DinI	5427
p3XHA-lic-hxg-insert	DraIII	5427
p3XHA-lic-hxg-insert	Ecl136II	5427
p3XHA-lic-hxg-insert	Eco130I	5427
p3XHA-lic-hxg-insert	EcoICRI	5427
